name;category;date;y;z;color
20-29 ans;tests positifs / réalisés;09-08-2020;3,58;3388;"#EC9221"
20-29 ans;tests positifs / réalisés;16-08-2020;5,02;5185;"#EB8626"
20-29 ans;tests positifs / réalisés;23-08-2020;6,42;9412;"#EB8626"
20-29 ans;tests positifs / réalisés;30-08-2020;7,43;13074;"#EB8626"
20-29 ans;tests positifs / réalisés;06-09-2020;8,32;15777;"#EA7A2A"
20-29 ans;tests positifs / réalisés;13-09-2020;8,82;17180;"#EA7A2A"
20-29 ans;tests positifs / réalisés;20-09-2020;10,08;19535;"#EA7A2A"
20-29 ans;tests positifs / réalisés;27-09-2020;11,16;19257;"#E96F2E"
20-29 ans;tests positifs / réalisés;04-10-2020;12,21;19440;"#E96F2E"
20-29 ans;tests positifs / réalisés;11-10-2020;14,96;26442;"#E96F2E"
20-29 ans;tests positifs / réalisés;18-10-2020;15,97;33244;"#E86333"
20-29 ans;tests positifs / réalisés;25-10-2020;19,63;49884;"#E86333"
20-29 ans;tests positifs / réalisés;01-11-2020;20,45;54435;"#E86333"
20-29 ans;tests positifs / réalisés;08-11-2020;19,33;41825;"#E75737"
20-29 ans;tests positifs / réalisés;15-11-2020;16,34;21712;"#E75737"
20-29 ans;tests positifs / réalisés;22-11-2020;12,98;12586;"#ffffff"
20-29 ans;tests positifs / réalisés;29-11-2020;10,59;7898;"#3498db"
30-39 ans;tests positifs / réalisés;17-05-2020;1,84;387;"#f1c40f"
30-39 ans;tests positifs / réalisés;24-05-2020;1,55;501;"#F0B813"
30-39 ans;tests positifs / réalisés;31-05-2020;1,43;487;"#F0B813"
30-39 ans;tests positifs / réalisés;07-06-2020;1,7;438;"#F0B813"
30-39 ans;tests positifs / réalisés;14-06-2020;1,82;515;"#EEA918"
30-39 ans;tests positifs / réalisés;21-06-2020;2,39;658;"#EEA918"
30-39 ans;tests positifs / réalisés;28-06-2020;2,09;648;"#EEA918"
30-39 ans;tests positifs / réalisés;05-07-2020;1,66;686;"#ED9D1D"
30-39 ans;tests positifs / réalisés;12-07-2020;1,24;679;"#ED9D1D"
30-39 ans;tests positifs / réalisés;19-07-2020;1,41;830;"#ED9D1D"
30-39 ans;tests positifs / réalisés;26-07-2020;1,58;1178;"#EC9221"
30-39 ans;tests positifs / réalisés;02-08-2020;1,79;1533;"#EC9221"
30-39 ans;tests positifs / réalisés;09-08-2020;2,55;2232;"#EC9221"
30-39 ans;tests positifs / réalisés;16-08-2020;3,5;3059;"#EB8626"
30-39 ans;tests positifs / réalisés;23-08-2020;4,34;5018;"#EB8626"
30-39 ans;tests positifs / réalisés;30-08-2020;4,92;7036;"#EB8626"
30-39 ans;tests positifs / réalisés;06-09-2020;5,73;9051;"#EA7A2A"
30-39 ans;tests positifs / réalisés;13-09-2020;5,36;10023;"#EA7A2A"
30-39 ans;tests positifs / réalisés;20-09-2020;6,46;11573;"#EA7A2A"
30-39 ans;tests positifs / réalisés;27-09-2020;8,31;11467;"#E96F2E"
30-39 ans;tests positifs / réalisés;04-10-2020;10,03;12616;"#E96F2E"
30-39 ans;tests positifs / réalisés;11-10-2020;13,43;20110;"#E96F2E"
30-39 ans;tests positifs / réalisés;18-10-2020;14,86;28378;"#E86333"
30-39 ans;tests positifs / réalisés;25-10-2020;19,42;45192;"#E86333"
30-39 ans;tests positifs / réalisés;01-11-2020;20,78;53001;"#E86333"
30-39 ans;tests positifs / réalisés;08-11-2020;18,97;42488;"#E75737"
30-39 ans;tests positifs / réalisés;15-11-2020;15,35;22279;"#E75737"
30-39 ans;tests positifs / réalisés;22-11-2020;12,18;13201;"#ffffff"
30-39 ans;tests positifs / réalisés;29-11-2020;10,05;8340;"#3498db"
40-49 ans;tests positifs / réalisés;17-05-2020;1,84;389;"#f1c40f"
40-49 ans;tests positifs / réalisés;24-05-2020;1,76;557;"#F0B813"
40-49 ans;tests positifs / réalisés;31-05-2020;1,59;529;"#F0B813"
40-49 ans;tests positifs / réalisés;07-06-2020;1,69;421;"#F0B813"
40-49 ans;tests positifs / réalisés;14-06-2020;1,62;449;"#EEA918"
40-49 ans;tests positifs / réalisés;21-06-2020;1,96;528;"#EEA918"
40-49 ans;tests positifs / réalisés;28-06-2020;1,81;534;"#EEA918"
40-49 ans;tests positifs / réalisés;05-07-2020;1,51;566;"#ED9D1D"
40-49 ans;tests positifs / réalisés;12-07-2020;1,33;597;"#ED9D1D"
40-49 ans;tests positifs / réalisés;19-07-2020;1,37;649;"#ED9D1D"
40-49 ans;tests positifs / réalisés;26-07-2020;1,48;901;"#EC9221"
40-49 ans;tests positifs / réalisés;02-08-2020;1,39;1017;"#EC9221"
40-49 ans;tests positifs / réalisés;09-08-2020;2,02;1506;"#EC9221"
40-49 ans;tests positifs / réalisés;16-08-2020;3,05;2238;"#EB8626"
40-49 ans;tests positifs / réalisés;23-08-2020;3,43;3448;"#EB8626"
40-49 ans;tests positifs / réalisés;30-08-2020;3,75;4735;"#EB8626"
40-49 ans;tests positifs / réalisés;06-09-2020;4,83;6514;"#EA7A2A"
