name;category;date;y;z;color
h1-rea-%max;France;11-10-2020;21,6;1483;"#ED9D1D"
h1-rea-%max;France;18-10-2020;28,3;1939;"#EC9221"
h1-rea-%max;France;25-10-2020;37,5;2575;"#EC9221"
h1-rea-%max;France;01-11-2020;52;3569;"#EC9221"
h1-rea-%max;France;08-11-2020;66;4527;"#EC9221"
h1-rea-%max;France;15-11-2020;71,1;4880;"#EC9221"
h1-rea-%max;France;22-11-2020;65,5;4491;"#EC9221"
h1-rea-%max;France;29-11-2020;54,6;3744;"#EC9221"
h1-rea-%max;France;06-12-2020;46,8;3210;"#EB8626"
h1-rea-%max;France;13-12-2020;41,7;2861;"#EB8626"
h1-rea-%max;France;20-12-2020;40;2745;"#EB8626"
h1-rea-%max;France;27-12-2020;38,6;2650;"#EB8626"
h1-rea-%max;France;03-01-2021;38,9;2665;"#EB8626"
h1-rea-%max;France;10-01-2021;38,2;2620;"#EB8626"
h1-rea-%max;France;17-01-2021;40,3;2766;"#EB8626"
h1-rea-%max;France;24-01-2021;43,1;2955;"#EB8626"
h1-rea-%max;France;31-01-2021;45,9;3148;"#EA7A2A"
h1-rea-%max;France;07-02-2021;47,6;3262;"#EA7A2A"
h1-rea-%max;France;14-02-2021;48,1;3299;"#EA7A2A"
h1-rea-%max;France;21-02-2021;49,5;3392;"#EA7A2A"
h1-rea-%max;France;28-02-2021;50,9;3492;"#EA7A2A"
h1-rea-%max;France;07-03-2021;54,6;3743;"#EA7A2A"
h1-rea-%max;France;14-03-2021;60,2;4127;"#EA7A2A"
h1-rea-%max;France;21-03-2021;64,2;4406;"#EA7A2A"
h1-rea-%max;France;28-03-2021;71;4872;"#E96F2E"
h1-rea-%max;France;04-04-2021;77,9;5341;"#E96F2E"
h1-rea-%max;France;11-04-2021;85,1;5838;"#E96F2E"
h1-rea-%max;France;18-04-2021;85,9;5893;"#E96F2E"
h1-rea-%max;France;25-04-2021;87,2;5978;"#E96F2E"
h1-rea-%max;France;02-05-2021;81,4;5585;"#E96F2E"
h1-rea-%max;France;09-05-2021;72,5;4971;"#E96F2E"
h1-rea-%max;France;16-05-2021;62;4255;"#E86333"
h1-rea-%max;France;23-05-2021;51,2;3515;"#E86333"
h1-rea-%max;France;30-05-2021;43,6;2993;"#E86333"
h1-rea-%max;France;06-06-2021;36,8;2527;"#E86333"
h1-dc-%max;France;22-03-2020;0;;"#f1c40f"
h1-dc-%max;France;29-03-2020;58,7;1974;"#f1c40f"
h1-dc-%max;France;05-04-2020;97,6;3283;"#f1c40f"
h1-dc-%max;France;12-04-2020;100;3364;"#f1c40f"
h1-dc-%max;France;19-04-2020;83,5;2808;"#f1c40f"
h1-dc-%max;France;26-04-2020;63,3;2130;"#f1c40f"
h1-dc-%max;France;03-05-2020;40,8;1373;"#f1c40f"
h1-dc-%max;France;10-05-2020;31,5;1059;"#F0B813"
h1-dc-%max;France;17-05-2020;24,5;824;"#F0B813"
h1-dc-%max;France;24-05-2020;16,5;556;"#F0B813"
h1-dc-%max;France;31-05-2020;13,4;452;"#F0B813"
h1-dc-%max;France;07-06-2020;9,8;330;"#F0B813"
h1-dc-%max;France;14-06-2020;6,5;218;"#F0B813"
h1-dc-%max;France;21-06-2020;4,8;160;"#F0B813"
h1-dc-%max;France;28-06-2020;3,7;124;"#F0B813"
