date;h1-dc solde
22-03-2020;
29-03-2020;5014
05-04-2020;9051
12-04-2020;11003
19-04-2020;9387
26-04-2020;8324
03-05-2020;5880
10-05-2020;5432
17-05-2020;4996
24-05-2020;3404
31-05-2020;3738
07-06-2020;2486
14-06-2020;2017
21-06-2020;1513
28-06-2020;1471
05-07-2020;1346
12-07-2020;1307
19-07-2020;898
26-07-2020;1563
02-08-2020;1082
09-08-2020;857
