name;category;date;y;z;color
30-39 ans;tests positifs / réalisés;28-06-2020;2,04;643;"#ED9D1D"
30-39 ans;tests positifs / réalisés;05-07-2020;1,62;679;"#EC9221"
30-39 ans;tests positifs / réalisés;12-07-2020;1,21;672;"#EC9221"
30-39 ans;tests positifs / réalisés;19-07-2020;1,38;824;"#EB8626"
30-39 ans;tests positifs / réalisés;26-07-2020;1,54;1160;"#EB8626"
30-39 ans;tests positifs / réalisés;02-08-2020;1,76;1523;"#EA7A2A"
30-39 ans;tests positifs / réalisés;09-08-2020;2,51;2218;"#EA7A2A"
30-39 ans;tests positifs / réalisés;16-08-2020;3,44;3046;"#EA7A2A"
30-39 ans;tests positifs / réalisés;23-08-2020;4,26;4995;"#E96F2E"
30-39 ans;tests positifs / réalisés;30-08-2020;4,83;6998;"#E96F2E"
30-39 ans;tests positifs / réalisés;06-09-2020;5,61;8998;"#E86333"
30-39 ans;tests positifs / réalisés;13-09-2020;5,24;9932;"#E86333"
30-39 ans;tests positifs / réalisés;20-09-2020;6,31;11453;"#E75737"
30-39 ans;tests positifs / réalisés;27-09-2020;8,09;11281;"#ffffff"
30-39 ans;tests positifs / réalisés;04-10-2020;9,78;12448;"#3498db"
40-49 ans;tests positifs / réalisés;17-05-2020;1,83;391;"#F0B813"
40-49 ans;tests positifs / réalisés;24-05-2020;1,73;551;"#F0B813"
40-49 ans;tests positifs / réalisés;31-05-2020;1,56;526;"#EEA918"
40-49 ans;tests positifs / réalisés;07-06-2020;1,61;409;"#EEA918"
40-49 ans;tests positifs / réalisés;14-06-2020;1,52;427;"#ED9D1D"
40-49 ans;tests positifs / réalisés;21-06-2020;1,82;493;"#ED9D1D"
40-49 ans;tests positifs / réalisés;28-06-2020;1,76;526;"#ED9D1D"
40-49 ans;tests positifs / réalisés;05-07-2020;1,48;561;"#EC9221"
40-49 ans;tests positifs / réalisés;12-07-2020;1,31;591;"#EC9221"
40-49 ans;tests positifs / réalisés;19-07-2020;1,35;643;"#EB8626"
40-49 ans;tests positifs / réalisés;26-07-2020;1,46;897;"#EB8626"
40-49 ans;tests positifs / réalisés;02-08-2020;1,37;1005;"#EA7A2A"
40-49 ans;tests positifs / réalisés;09-08-2020;1,99;1496;"#EA7A2A"
40-49 ans;tests positifs / réalisés;16-08-2020;2,98;2214;"#EA7A2A"
40-49 ans;tests positifs / réalisés;23-08-2020;3,36;3424;"#E96F2E"
40-49 ans;tests positifs / réalisés;30-08-2020;3,68;4712;"#E96F2E"
40-49 ans;tests positifs / réalisés;06-09-2020;4,73;6483;"#E86333"
40-49 ans;tests positifs / réalisés;13-09-2020;5,49;8358;"#E86333"
40-49 ans;tests positifs / réalisés;20-09-2020;6,44;9809;"#E75737"
40-49 ans;tests positifs / réalisés;27-09-2020;7,74;9611;"#ffffff"
40-49 ans;tests positifs / réalisés;04-10-2020;9,88;11201;"#3498db"
50-59 ans;tests positifs / réalisés;17-05-2020;1,9;417;"#F0B813"
50-59 ans;tests positifs / réalisés;24-05-2020;1,66;551;"#F0B813"
50-59 ans;tests positifs / réalisés;31-05-2020;1,24;441;"#EEA918"
50-59 ans;tests positifs / réalisés;07-06-2020;1,35;373;"#EEA918"
50-59 ans;tests positifs / réalisés;14-06-2020;1,28;387;"#ED9D1D"
50-59 ans;tests positifs / réalisés;21-06-2020;1,31;380;"#ED9D1D"
50-59 ans;tests positifs / réalisés;28-06-2020;1,4;433;"#ED9D1D"
50-59 ans;tests positifs / réalisés;05-07-2020;1,26;454;"#EC9221"
50-59 ans;tests positifs / réalisés;12-07-2020;1,2;492;"#EC9221"
50-59 ans;tests positifs / réalisés;19-07-2020;1,32;567;"#EB8626"
50-59 ans;tests positifs / réalisés;26-07-2020;1,33;760;"#EB8626"
50-59 ans;tests positifs / réalisés;02-08-2020;1,4;954;"#EA7A2A"
50-59 ans;tests positifs / réalisés;09-08-2020;1,69;1179;"#EA7A2A"
50-59 ans;tests positifs / réalisés;16-08-2020;2,64;1831;"#EA7A2A"
50-59 ans;tests positifs / réalisés;23-08-2020;2,97;2833;"#E96F2E"
50-59 ans;tests positifs / réalisés;30-08-2020;3,25;3947;"#E96F2E"
50-59 ans;tests positifs / réalisés;06-09-2020;4,29;5492;"#E86333"
50-59 ans;tests positifs / réalisés;13-09-2020;5,72;7327;"#E86333"
50-59 ans;tests positifs / réalisés;20-09-2020;6,81;8492;"#E75737"
50-59 ans;tests positifs / réalisés;27-09-2020;7,78;8735;"#ffffff"
50-59 ans;tests positifs / réalisés;04-10-2020;9,34;9946;"#3498db"
60-69 ans;tests positifs / réalisés;17-05-2020;1,78;303;"#F0B813"
60-69 ans;tests positifs / réalisés;24-05-2020;1,52;410;"#F0B813"
60-69 ans;tests positifs / réalisés;31-05-2020;1,15;341;"#EEA918"
60-69 ans;tests positifs / réalisés;07-06-2020;1,11;280;"#EEA918"
60-69 ans;tests positifs / réalisés;14-06-2020;0,95;268;"#ED9D1D"
60-69 ans;tests positifs / réalisés;21-06-2020;0,97;278;"#ED9D1D"
60-69 ans;tests positifs / réalisés;28-06-2020;0,9;267;"#ED9D1D"
60-69 ans;tests positifs / réalisés;05-07-2020;0,98;330;"#EC9221"
60-69 ans;tests positifs / réalisés;12-07-2020;0,93;349;"#EC9221"
60-69 ans;tests positifs / réalisés;19-07-2020;0,96;381;"#EB8626"
60-69 ans;tests positifs / réalisés;26-07-2020;1,08;545;"#EB8626"
60-69 ans;tests positifs / réalisés;02-08-2020;1,09;616;"#EA7A2A"
60-69 ans;tests positifs / réalisés;09-08-2020;1,37;777;"#EA7A2A"
60-69 ans;tests positifs / réalisés;16-08-2020;1,86;1030;"#EA7A2A"
60-69 ans;tests positifs / réalisés;23-08-2020;2,34;1670;"#E96F2E"
60-69 ans;tests positifs / réalisés;30-08-2020;2,65;2277;"#E96F2E"
60-69 ans;tests positifs / réalisés;06-09-2020;3,51;3304;"#E86333"
60-69 ans;tests positifs / réalisés;13-09-2020;4,55;4145;"#E86333"
60-69 ans;tests positifs / réalisés;20-09-2020;5,7;5047;"#E75737"
60-69 ans;tests positifs / réalisés;27-09-2020;6,55;5342;"#ffffff"
60-69 ans;tests positifs / réalisés;04-10-2020;7,49;6016;"#3498db"
70-79 ans;tests positifs / réalisés;17-05-2020;2,23;315;"#F0B813"
70-79 ans;tests positifs / réalisés;24-05-2020;1,86;431;"#F0B813"
70-79 ans;tests positifs / réalisés;31-05-2020;1,1;285;"#EEA918"
70-79 ans;tests positifs / réalisés;07-06-2020;1,03;233;"#EEA918"
70-79 ans;tests positifs / réalisés;14-06-2020;0,84;211;"#ED9D1D"
70-79 ans;tests positifs / réalisés;21-06-2020;0,85;220;"#ED9D1D"
70-79 ans;tests positifs / réalisés;28-06-2020;0,74;193;"#ED9D1D"
70-79 ans;tests positifs / réalisés;05-07-2020;0,63;178;"#EC9221"
70-79 ans;tests positifs / réalisés;12-07-2020;0,69;206;"#EC9221"
70-79 ans;tests positifs / réalisés;19-07-2020;0,88;269;"#EB8626"
70-79 ans;tests positifs / réalisés;26-07-2020;0,97;376;"#EB8626"
70-79 ans;tests positifs / réalisés;02-08-2020;0,82;345;"#EA7A2A"
70-79 ans;tests positifs / réalisés;09-08-2020;1,22;508;"#EA7A2A"
70-79 ans;tests positifs / réalisés;16-08-2020;1,61;633;"#EA7A2A"
70-79 ans;tests positifs / réalisés;23-08-2020;1,56;760;"#E96F2E"
